03/09/1441,26/04/2020,FT20117467900049,-250.00,,20029.65,Card Payment
03/09/1441,26/04/2020,FT20117752781310,-3000.00,,20279.65,SARIE OUTGOING PAYMENT (DR)
30/08/1441,23/04/2020,FT20114226150207,,364.69,23279.65,INCOMING SARIE PAYMENT (CR)
30/08/1441,23/04/2020,HR-S20114003446,,13483.33,22914.96,HR Credit
28/08/1441,21/04/2020,FT20112488100557,-726.93,,9431.63,??? ??? ???? ????? (??? ????)
24/08/1441,17/04/2020,FT20108980451832,-19.99,,10158.56,Electron Sales Draft
18/08/1441,11/04/2020,FT20102126734725,,29.33,10178.55,Electron Refund
15/08/1441,08/04/2020,FT20099790350780,-30.78,,10149.22,Electron Sales Draft
14/08/1441,07/04/2020,FT20098510314286,,1.00,10180,??? ??? ???? ????? (??? ????)
14/08/1441,07/04/2020,FT20098048554104,-1.00,,10179,??? ??? ???? ????? (??? ????)
13/08/1441,06/04/2020,FT20097272413104,-20.00,,10180,??? ??? ???? ????? (??? ????)
08/08/1441,01/04/2020,FT20092254982116,-82.38,,10200,ACCOUNT TO ACCOUNT TRANSFER DR
