02/08/1441,26/03/2020,FT20086006197077,-246.00,,10282.38,Card Payment
02/08/1441,26/03/2020,FT20086212906107,-15.00,,10528.38,Card Payment
02/08/1441,26/03/2020,FT20086632837603,-3000.00,,10543.38,SARIE OUTGOING PAYMENT (DR)
02/08/1441,26/03/2020,HR-S20086001295,,13483.33,13543.38,HR Credit
01/08/1441,25/03/2020,FT20085504001396,-31.00,,60.05,Card Payment
29/07/1441,24/03/2020,FT20084109228083,-108.00,,91.05,Card Payment
25/07/1441,20/03/2020,FT20080886275761,-19.99,,199.05,Electron Sales Draft
24/07/1441,19/03/2020,FT20079603270243,-65.00,,219.04,Card Payment
23/07/1441,18/03/2020,FT20078905557882,-18.00,,284.04,Card Payment
22/07/1441,17/03/2020,FT20077731843852,-8.00,,302.04,Card Payment
22/07/1441,17/03/2020,FT20077713701280,-48.00,,310.04,ACCOUNT TO ACCOUNT TRANSFER DR
22/07/1441,17/03/2020,FT20077928110295,,350.00,358.04,Cash Deposit Through ATM
16/07/1441,11/03/2020,FT20071640619361,-10.00,,8.04,??? ??? ???? ????? (??? ????)
15/07/1441,10/03/2020,FT20070038090374,-58.00,,18.04,??? ??? ???? ????? (??? ????)
12/07/1441,07/03/2020,FT20067366490405,-25.00,,76.04,??? ??? ???? ????? (??? ????)
11/07/1441,06/03/2020,FT20066883001006,-57.59,,101.04,Electron Sales Draft
08/07/1441,03/03/2020,FT20063388288233,-446.56,,158.63,Electron Sales Draft
